Date,GOOGL
2009-06-23,10.076019287109375
2009-06-24,10.165682792663574
2009-06-25,10.326629638671875
2009-06-26,10.563828468322754
2009-06-29,10.534518241882324
2009-06-30,10.471182823181152
2009-07-01,10.406604766845703
2009-07-02,10.145813941955566
2009-07-06,10.17363166809082
2009-07-07,9.851243019104004
2009-07-08,9.99678897857666
2009-07-09,10.193005561828613
2009-07-10,10.2926025390625
2009-07-13,10.538492202758789
2009-07-14,10.548179626464844
2009-07-15,10.882987976074219
2009-07-16,10.993016242980957
2009-07-17,10.686273574829102
2009-07-20,10.684287071228027
2009-07-21,10.627906799316406
2009-07-22,10.62269115447998
2009-07-23,10.862370491027832
2009-07-24,11.095346450805664
2009-07-27,11.047657012939453
2009-07-28,10.924713134765625
2009-07-29,10.835050582885742
2009-07-30,11.068521499633789
